Sat Sep 12 00:08:06 CDT 2015,846721,9447,1325295,78799,1394495,31090,260749,2845186,119869,1436272,345510,133145,1839553,281055,18594,2062093,1208920,993011,264893,3664630,294259,140962,
Sun Sep 13 00:08:06 CDT 2015,847112,9456,1328897,78838,1401463,31105,261005,2859524,119893,1437783,346971,133319,1839592,281094,18598,2062045,1208983,993297,264885,3677188,294280,141046,
Mon Sep 14 00:08:07 CDT 2015,847311,9471,1332059,78859,1407565,31122,261255,2869268,119933,1439042,348256,133477,1839613,281177,18624,2062014,1208982,993541,264873,3687658,294307,141172,
Tue Sep 15 00:08:05 CDT 2015,847487,9478,1334931,78916,1420666,31144,261545,2880158,119978,1440283,350110,133612,1839583,281208,18651,2062054,1208942,993823,264878,3700690,294344,141309,
Wed Sep 16 00:08:05 CDT 2015,847650,9487,1338538,79104,1438152,31183,262019,2914179,120094,1441822,352576,133724,1839595,281246,18661,2062046,1208926,994396,264890,3715595,294394,141434,
Thu Sep 17 00:08:32 CDT 2015,847912,9510,1344124,79231,1462749,31240,266263,3301906,121901,1445686,378208,134483,1840907,282123,18864,2062624,1208870,1003457,265094,3734972,294546,142634,
Fri Sep 18 00:08:06 CDT 2015,848086,9535,1358983,79312,1492750,31293,274512,3398132,123813,1451748,418935,134910,1842212,282625,18932,2063878,1208825,1014603,265197,3754192,294648,143766,
Sat Sep 19 00:08:07 CDT 2015,848192,9549,1369830,79439,1506452,31335,277381,3509854,124481,1454948,432407,135121,1842862,282809,18964,2064540,1208782,1018886,265214,3769679,294720,144154,
Sun Sep 20 00:08:08 CDT 2015,848344,9574,1376403,79535,1518313,31375,278718,3616840,124726,1457794,438199,135277,1843629,282947,18981,2064943,1208724,1020838,265267,3790249,294757,144381,
Mon Sep 21 00:08:09 CDT 2015,848498,9593,1382024,79609,1527864,31398,279495,3710310,124911,1459736,442964,135440,1844056,283040,18998,2065286,1208668,1022565,265295,3802902,294789,144638,
Tue Sep 22 00:08:07 CDT 2015,848623,9610,1387141,79649,1535820,31425,280281,3834792,125106,1462115,448490,135590,1844632,283158,19010,2065843,1208623,1025866,265311,3813275,294823,144929,
Wed Sep 23 00:08:07 CDT 2015,848723,9626,1392519,79680,1542784,31451,280869,3871742,125305,1464756,453044,135675,1845012,283245,19018,2066223,1208586,1028579,265323,3823101,294647,145088,
Fri Oct 02 00:08:07 CDT 2015,849809,9757,1447586,79994,1622923,31623,283119,4068532,125915,1477715,471150,136323,1846386,284011,19090,2066734,1208193,1039218,265415,3904518,294003,146406,
Sat Oct 03 00:08:08 CDT 2015,849893,9766,1454934,80055,1625761,31649,283384,4100594,125949,1479625,473733,136402,1847011,284027,19093,2066828,1208170,1040385,265431,3913215,293953,146433,
Thu Oct 08 00:08:47 CDT 2015,850626,9840,1495729,80466,1642035,31866,284247,4165101,126160,1485437,481381,136756,1847879,284071,19107,2067367,1207872,1044044,265427,3948667,293807,146647,
Fri Oct 09 00:08:08 CDT 2015,850718,9865,1501423,80530,1644735,31897,284383,4172137,126184,1486571,482474,136830,1847947,284094,19116,2067458,1207856,1044470,265429,3955637,293735,146768,
Sat Oct 10 00:08:06 CDT 2015,850800,9889,1507428,80603,1647276,31934,284522,4181473,126222,1487815,483771,136982,1848203,284229,19124,2067505,1207798,1045269,265411,3964538,293694,146837,
Sun Oct 11 00:08:05 CDT 2015,850824,9903,1513014,80685,1649545,31967,284619,4187183,126244,1488976,484784,137118,1848475,284259,19134,2067562,1207733,1045843,265417,3971639,293672,146858,
Mon Oct 12 00:08:06 CDT 2015,850890,9949,1521762,80842,1652987,32042,284735,4191771,126259,1489781,485736,137263,1848558,284311,19141,2067512,1207603,1046237,265406,3977913,293657,146879,
Wed Oct 14 00:08:07 CDT 2015,851252,10941,1542839,84730,1686838,35383,285093,4202607,126346,1491756,487981,137590,1848781,284460,19165,2067600,1207406,1047595,265402,4002458,293610,147005,
Thu Oct 15 00:08:08 CDT 2015,851421,11410,1558607,88138,1727129,38221,285454,4224627,126382,1493171,489136,137735,1849095,284498,19169,2067822,1207272,1049133,265402,4015364,293582,147068,
Fri Oct 16 00:08:08 CDT 2015,851528,11555,1564828,88882,1745357,39041,285722,4241330,126415,1494358,490061,137881,1849294,284520,19169,2068026,1207190,1050132,265401,4023714,293525,147158,
Sat Oct 17 00:08:07 CDT 2015,851686,11625,1569782,89153,1754165,39791,285928,4245253,126434,1495295,490791,138012,1849427,284499,19178,2068162,1207124,1050825,265403,4030511,293501,147211,
Tue Oct 20 00:08:06 CDT 2015,852433,11744,1583366,89645,1772266,40855,286720,4256360,126480,1497508,492871,138318,1849851,284535,19193,2068285,1206928,1052512,265424,4050729,293353,147275,
Wed Oct 21 00:08:13 CDT 2015,852790,11799,1587732,90038,1776993,41689,287059,4270513,126519,1498414,493500,138438,1849982,284566,19201,2068306,1206874,1053456,265435,4056966,293345,147315,
Fri Oct 23 00:08:08 CDT 2015,854761,11941,1606282,90391,1796486,42146,287951,4298793,126564,1500156,494465,139347,1850353,284597,19225,2068374,1206730,1055613,265449,4069979,293264,147369,
Sat Oct 24 00:08:08 CDT 2015,854825,11973,1617067,90503,1799424,42410,288326,4309470,126595,1500986,494901,139481,1850585,284617,19235,2068407,1206677,1056680,265459,4077388,293222,147457,
Sun Oct 25 00:08:08 CDT 2015,854830,12019,1624483,90611,1801841,42554,288586,4318554,126600,1501627,495236,139593,1850743,284610,19243,2068428,1206617,1057532,265461,4083057,293200,147482,
Mon Oct 26 00:08:15 CDT 2015,854966,12031,1630805,90698,1804639,42611,288787,4326979,126643,1502282,495527,139688,1850976,284625,19244,2068489,1206593,1058314,265454,4093274,293165,147495,
Tue Oct 27 00:08:08 CDT 2015,855032,12037,1638496,90790,1807090,42680,289117,4334874,126679,1503172,496110,140013,1851020,284616,19247,2068381,1206510,1059113,265510,4104679,293139,147520,
Wed Oct 28 00:08:08 CDT 2015,855060,12022,1645838,90849,1810449,42767,289335,4346415,126695,1504020,496755,140368,1851098,284587,19256,2068316,1206429,1060140,265768,4111345,293104,147636,
Thu Oct 29 00:08:07 CDT 2015,855112,12037,1651928,90942,1815990,42832,289843,4452194,127750,1509815,499240,140854,1851710,284708,19354,2068603,1206361,1066507,266141,4119857,293066,148592,
Fri Oct 30 00:08:08 CDT 2015,855108,12032,1658207,91024,1825326,42900,290200,4469882,128942,1518480,501762,141337,1852446,284731,19393,2068872,1206296,1077082,266351,4127950,293042,149100,
Sat Oct 31 00:08:09 CDT 2015,855101,12048,1665386,91082,1830552,42966,290530,4506302,129576,1522686,503074,141566,1852747,284722,19403,2069199,1206184,1080877,266624,4133989,293073,149399,
Sun Nov 01 00:08:07 CDT 2015,855119,12054,1671644,91126,1834110,43020,290790,4512657,130141,1525693,503976,141591,1852958,284742,19404,2069582,1206094,1082949,266975,4138691,293085,149746,
Sun Nov 01 23:08:09 CST 2015,855110,12056,1678119,91162,1838765,43064,290958,4518478,130253,1528369,504794,141622,1853105,284733,19417,2069730,1206039,1084248,267190,4143501,293060,149847,
Mon Nov 02 23:08:09 CST 2015,855088,12067,1682662,91192,1843235,43123,291176,4526339,130460,1530686,506137,141643,1853248,284745,19432,2069794,1205970,1085434,267178,4148659,293017,149926,
Tue Nov 03 23:08:08 CST 2015,855062,12075,1688051,91255,1848243,43183,291370,4537664,130697,1533050,507274,141653,1853454,284762,19440,2069926,1205879,1086672,267161,4155020,292948,149989,
Wed Nov 04 23:08:07 CST 2015,855068,12076,1694116,91366,1851843,43233,291626,4550635,131280,1535599,508123,141695,1853798,284786,19456,2070082,1205856,1088184,267139,4160287,292973,150010,
Thu Nov 05 23:08:11 CST 2015,855074,12084,1700245,91459,1861553,43262,292324,4589793,131891,1538354,509013,141729,1854254,284829,19469,2070418,1205804,1089643,267130,4166975,292974,150068,
Fri Nov 06 23:08:11 CST 2015,855045,12083,1706571,92066,1878871,43283,292730,4604193,132198,1540649,510103,141748,1854433,284854,19476,2070470,1205744,1090852,267120,4171985,292970,150123,
Sat Nov 07 23:08:12 CST 2015,855055,12090,1711944,92534,1893385,43305,292956,4623506,132299,1542933,510884,141755,1854556,284889,19485,2070592,1205697,1091898,267120,4176568,292956,150198,
Sun Nov 08 23:08:12 CST 2015,855040,12095,1716988,92682,1897667,43314,293126,4638152,132419,1544627,511428,141767,1854730,284913,19495,2070725,1205631,1092857,267097,4181970,292951,150244,
Mon Nov 09 23:08:15 CST 2015,855234,12108,1723999,92808,1903184,43315,293332,4645826,132522,1546033,511866,141785,1854811,284915,19507,2070788,1205566,1093696,267214,4187419,292943,150263,
Tue Nov 10 23:08:30 CST 2015,855584,12124,1731865,92929,1912590,43353,293826,4732571,133090,1550122,513870,141856,1855157,285181,19522,2071356,1205503,1098039,267573,4196354,292946,150810,
Thu Nov 12 23:08:09 CST 2015,855778,12131,1742407,93150,1924872,43442,294795,4754408,133681,1559381,516249,141898,1855709,285265,19538,2072679,1205388,1105851,268111,4209523,292924,151237,
Fri Nov 13 23:08:09 CST 2015,855800,12132,1750854,93257,1929025,43468,295211,4759194,133879,1562722,517681,141984,1855727,285307,19534,2072784,1205353,1108014,268336,4218385,292921,151300,
Sun Nov 15 23:08:11 CST 2015,855847,12154,1770562,96126,1940438,43540,296065,4768027,134259,1572762,521101,142143,1856644,287252,19553,2073347,1205271,1114819,268766,4256173,292915,151466,
Mon Nov 16 23:08:10 CST 2015,855838,12165,1777339,96603,1944898,43616,296621,4788452,134722,1578206,522720,142233,1857404,290496,19564,2073735,1205270,1118808,268766,4274712,293024,151825,
Tue Nov 17 23:08:12 CST 2015,855859,12168,1784228,96859,1949237,43649,297058,4799300,135033,1583200,523440,142273,1858027,291466,19571,2073858,1205274,1123112,268766,4336152,293042,151946,
Wed Nov 18 23:08:10 CST 2015,855889,12168,1789410,97192,1954826,43672,297387,4804814,135393,1590576,524216,142331,1858172,292046,19565,2074014,1205215,1126489,268731,4364291,293050,151976,
Thu Nov 19 23:08:09 CST 2015,855914,12174,1794474,97658,1968561,43686,297619,4817055,135622,1597647,524721,142351,1858245,292239,19579,2074037,1205182,1129490,268717,4395573,293049,152085,
Fri Nov 20 23:08:08 CST 2015,856614,12180,1801251,97935,1975279,43709,297926,4832574,135758,1601524,525001,142366,1858302,292371,19586,2074193,1205137,1131238,268674,4410844,293042,152168,
Sat Nov 21 23:08:09 CST 2015,856949,12178,1807772,98128,1980729,43731,298130,4847117,135878,1604408,525240,142384,1858430,292463,19599,2074277,1205099,1132488,268689,4420990,293020,152263,
Sun Nov 22 23:08:08 CST 2015,857018,12183,1812822,98231,1985918,43729,298296,4860052,136013,1607307,525438,142412,1858466,292533,19601,2074309,1205045,1133935,268700,4432636,293031,152310,
Mon Nov 23 23:08:08 CST 2015,857035,12184,1817171,98299,1990599,43732,298445,4869525,136138,1609992,525766,142431,1858529,292586,19606,2074344,1204999,1135466,268699,4442395,293027,152344,
Tue Nov 24 23:08:09 CST 2015,857058,12191,1821735,98362,1999442,43738,298786,4878052,136274,1613013,526450,142432,1858514,292633,19608,2074562,1204921,1136967,268708,4452792,293019,152337,
Wed Nov 25 23:08:08 CST 2015,857087,12196,1825862,98441,2008167,43757,299034,4884999,136386,1615764,526899,142449,1858432,292645,19611,2074695,1204892,1138371,268719,4460460,293031,152487,
Thu Nov 26 23:08:09 CST 2015,857147,12197,1833394,98478,2009738,43791,299223,4892533,136499,1619482,527245,142466,1858376,292634,19614,2074749,1204849,1140983,268717,4467631,293055,152571,
Fri Nov 27 23:08:10 CST 2015,857116,12199,1839473,98495,2010950,43877,299353,4897688,136591,1622168,527462,142464,1858291,292627,19613,2074732,1204819,1142264,268714,4472981,293075,152614,
Sat Nov 28 23:08:09 CST 2015,857079,12197,1843135,98557,2012319,43913,299432,4902732,136809,1624038,527621,142472,1858224,292655,19614,2074723,1204802,1143073,268699,4478702,293059,152679,
Sun Nov 29 23:08:10 CST 2015,857026,12197,1846154,98597,2013766,43925,299533,4908100,137009,1625579,527860,142484,1858205,292670,19615,2074662,1204753,1143751,268693,4484471,293023,152741,
Wed Dec 02 23:08:09 CST 2015,857020,12201,1859692,98896,2022197,43960,299834,4933473,137540,1631423,528232,142510,1858110,292609,19616,2074602,1204581,1146308,268645,4510480,293045,152857,
Fri Dec 04 23:08:08 CST 2015,856888,12199,1869600,99085,2026333,44007,300147,4939136,137900,1638940,529237,142590,1858081,292602,19631,2074623,1204407,1149268,268578,4534502,293112,152869,
Sat Dec 05 23:08:09 CST 2015,856820,12194,1873576,99156,2028330,44019,300244,4943975,138014,1643003,529523,142622,1858171,292587,19690,2074280,1204298,1150295,268566,4544587,293088,152919,
Mon Dec 07 23:08:11 CST 2015,856827,12189,1881961,99343,2034731,44032,300526,4949357,138313,1654467,530032,142737,1858624,292581,19749,2075415,1204123,1153525,268538,4592160,293151,153003,
Wed Dec 09 23:08:08 CST 2015,856962,12189,1914155,99670,2073127,44074,301319,4953755,138576,1666855,530959,143702,1858906,292568,19779,2078712,1203922,1156382,268432,4702818,293153,153217,
Fri Dec 11 23:08:08 CST 2015,857007,12196,1938509,100236,2110865,44107,302030,4957373,138828,1676783,531462,143838,1858925,292514,19804,2080036,1203761,1158874,268406,4755181,293119,153359,
Sat Dec 12 23:08:08 CST 2015,857000,12193,1948169,100544,2122619,44108,302242,4958437,138920,1680314,531622,143914,1858942,292492,19821,2080179,1203695,1159678,268399,4776977,293110,153414,
Sun Dec 13 23:08:10 CST 2015,856957,12189,1958839,100699,2134089,44118,302416,4959086,139000,1684878,531707,143945,1858959,292487,19838,2080339,1203606,1160409,268401,4793258,293102,153525,
Mon Dec 14 23:08:09 CST 2015,856952,12189,1967267,100758,2144324,44122,302623,4963506,139081,1689009,531786,143980,1859177,292485,19851,2080608,1203510,1161271,268420,4805660,293075,153550,
Tue Dec 15 23:08:10 CST 2015,856937,12186,1976064,100829,2155270,44132,303644,4982337,139980,1695294,533018,144608,1859620,292478,19968,2081478,1203437,1164377,268717,4820667,293070,153759,
Wed Dec 16 23:08:09 CST 2015,856922,12187,1985936,100925,2170082,44145,305917,5000755,141042,1702957,534034,145014,1860270,292456,20005,2083583,1203357,1167555,268856,4856460,293048,153951,
Thu Dec 17 23:08:08 CST 2015,856890,12187,1995405,101010,2176072,44147,306679,5002208,141493,1707103,534417,145219,1860503,292431,20006,2084432,1203278,1168605,268871,4874440,293034,153994,
Sat Dec 19 23:08:10 CST 2015,856909,12196,2016511,102346,2196634,44256,307473,5011251,141740,1715173,534835,145355,1860600,292381,20040,2086423,1203099,1170228,268853,4898964,292972,154084,
